VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
sql_require_primary_key	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
sql_safe_updates	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
sql_select_limit	SESSION,GLOBAL	18446744073709551615	18446744073709551615	0	18446744073709551615	NULL	NO
sql_slave_skip_counter	GLOBAL	0	0	NULL	NULL	NULL	YES
sql_warnings	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
ssl_ca	NONE			NULL	NULL	NULL	NO
ssl_cert	NONE			NULL	NULL	NULL	NO
ssl_cipher	NONE			NULL	NULL	NULL	YES
ssl_key	NONE			NULL	NULL	NULL	NO
storage_engine	SESSION,GLOBAL	InnoDB	InnoDB	NULL	NULL	NULL	YES
stored_program_cache	GLOBAL	256	256	NULL	NULL	NULL	YES
super_read_only	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
sync_binlog	GLOBAL	0	0	0	4294967295	NULL	YES
sync_frm	GLOBAL	ON	ON	NULL	NULL	NULL	YES
sync_master_info	GLOBAL	10000	10000	NULL	NULL	NULL	YES
sync_relay_log	GLOBAL	10000	10000	NULL	NULL	NULL	YES
sync_relay_log_info	GLOBAL	10000	10000	NULL	NULL	NULL	YES
system_time_zone	NONE	Asia/Shanghai	Asia/Shanghai	NULL	NULL	NULL	NO
table_definition_cache	GLOBAL	2000	2000	400	524288	NULL	YES
table_open_cache	GLOBAL	2000	2000	NULL	NULL	NULL	YES
table_open_cache_instances	NONE	1	1	NULL	NULL	NULL	YES
thread_cache_size	GLOBAL	9	9	NULL	NULL	NULL	YES
thread_concurrency	NONE	10	10	NULL	NULL	NULL	YES
thread_handling	NONE	one-thread-per-connection	one-thread-per-connection	NULL	NULL	NULL	YES
thread_pool_size	GLOBAL	16	16	1	64	NULL	YES
thread_stack	NONE	262144	262144	NULL	NULL	NULL	YES
tidb_accelerate_user_creation_update	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_adaptive_closest_read_threshold	SESSION,GLOBAL	4096	4096	0	9223372036854775807	NULL	NO
tidb_advancer_check_point_lag_limit	GLOBAL	48h0m0s	48h0m0s	NULL	NULL	NULL	NO
tidb_allow_batch_cop	SESSION,GLOBAL	1	1	0	2	NULL	NO
